"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,F,EMPRESAS,Inactivos,2193536535.6182523,1191776960.9261746,1001759599.3727417,441
202404,F,GLOBAL TRANSACTION BANKING,Inactivos,400650.10136413574,400650.10136413574,0.0,13
202305,F,RESTO,Inactivos,31791990.945145905,21292723.137528718,10499268.061523438,257
202302,F,EMPRESAS,Inactivos,2170531477.617103,1142542327.002174,1027989122.5975342,445
202301,F,PARTICULARES,C,95622145277.71979,62093105713.40815,33529039545.72656,2260601
202306,F,RESTO,Inactivos,33241904.48281187,22506112.55727476,10735792.056640625,255
202303,F,EMPRESAS,Inactivos,2230419259.801947,1017771635.3001161,1212647627.131775,445
202302,F,PARTICULARES,C,91449311825.96198,58063933864.14359,33385377939.479706,2206739
202307,F,RESTO,Inactivos,37154229.15131828,24208095.968945235,12946133.312011719,258
202304,F,EMPRESAS,Inactivos,2281591011.144407,942520016.7279638,1339071000.8288574,442
202303,F,PARTICULARES,C,90634659838.921,56061602894.54417,34573056935.48871,2029611
202308,F,RESTO,Inactivos,38892425.19898148,26186951.495734412,12705473.6640625,255
202305,F,EMPRESAS,Inactivos,2309022981.1135406,935703590.9309845,1373319350.9632568,443
202304,F,PARTICULARES,C,91848572705.80971,56890180498.51139,34958392212.90684,2038469
202309,F,RESTO,Inactivos,38250786.14908436,26357303.560339242,11893482.625,251
202306,F,EMPRESAS,Inactivos,2200371602.5202074,824046952.3602647,1376324636.4509888,441
202305,F,PARTICULARES,C,89963067452.7503,55801166286.17033,34161901185.56723,2109694
202310,F,RESTO,Inactivos,35722309.8882705,23293072.918543935,12429237.318359375,253
202307,F,EMPRESAS,Inactivos,2176610500.262442,763333432.3884492,1413277079.6853638,446
202306,F,PARTICULARES,C,91033459047.75035,54682400225.529366,36351058830.56651,2062740
202311,F,RESTO,Inactivos,29111803.97546333,16319297.677611768,12792506.361328125,248
202308,F,EMPRESAS,Inactivos,2069468739.402975,802519215.1348172,1266949530.5526733,444
202307,F,PARTICULARES,C,97263183310.85915,57153833654.124405,40109349689.07782,2111927
202312,F,RESTO,Inactivos,25624217.287542105,13023063.668557733,12601153.5546875,244
202309,F,EMPRESAS,Inactivos,1944558817.815378,742079843.5614108,1202478961.9580688,457
202308,F,PARTICULARES,C,98077566763.1216,55480246289.593155,42597320487.20586,2015806
202310,F,EMPRESAS,Inactivos,1963561531.6646147,756678634.484439,1206882887.489441,459
202309,F,PARTICULARES,C,96475546643.97235,52736495297.80874,43739051348.17351,1986324
202311,F,EMPRESAS,Inactivos,1842789430.9543643,716826404.8732486,1125963026.1478882,457
202310,F,PARTICULARES,C,98958160637.34033,52484406429.09698,46473754194.49736,2016616
202312,F,EMPRESAS,Inactivos,1941658798.3012986,888607657.7317797,1053051142.340332,467
202311,F,PARTICULARES,C,107426303692.83957,57710732823.03163,49715570846.98951,2142872
202312,F,PARTICULARES,C,128824070965.20964,73675954984.57686,55148115958.636665,2590764
202401,F,WEALTH MANAGEMENT,B,3742503310.285039,733684215.8407383,3008819117.1872673,2157
202402,F,WEALTH MANAGEMENT,B,3288109068.217676,699064985.3500919,2589044078.1420593,1884
202403,F,WEALTH MANAGEMENT,B,3059867013.6914787,625965236.8922148,2433901769.4844303,1925
202404,F,WEALTH MANAGEMENT,B,3853571104.5713043,842340781.8154447,3011230328.8533173,2089
202401,F,PARTICULARES,Sin Categoria,8955090.307856688,8807079.800044188,148010.54248046875,354
202402,F,PARTICULARES,Sin Categoria,10080940.7746949,9381106.675085524,699834.0947265625,400
202401,F,INSTITUCIONES,Inactivos,915090.9138793945,915090.9138793945,0.0,7
202301,F,PARTICULARES,D,113298137861.85396,65251694841.6984,48046443037.670135,2165281
202403,F,PARTICULARES,Sin Categoria,10160129.399617204,10134365.582234392,25763.820068359375,421
202402,F,INSTITUCIONES,Inactivos,786514.3369750977,786514.3369750977,0.0,6
202302,F,PARTICULARES,D,119064918602.3022,62500411986.1172,56564506604.701805,2051925
202404,F,PARTICULARES,Sin Categoria,10963128.687966492,10940531.361184265,22597.33056640625,456
202301,F,WEALTH MANAGEMENT,A,3175054740.5711155,643293852.4295149,2531760893.644047,2041
202403,F,INSTITUCIONES,Inactivos,534573.2514648438,534573.2514648438,0.0,5
202303,F,PARTICULARES,D,121326579591.64622,59183428050.66286,62143151594.3636,1947483
202302,F,WEALTH MANAGEMENT,A,3071164516.4748297,631247840.5938536,2439916681.0430565,2138
202301,F,WEALTH MANAGEMENT,Inactivos,140114182.02788302,815100.2679795865,139299081.75984573,383
202404,F,INSTITUCIONES,Inactivos,821600.443435669,821600.443435669,0.0,6
202304,F,PARTICULARES,D,123317186918.05605,57810399301.61058,65506787636.79066,2014144
202303,F,WEALTH MANAGEMENT,A,3284817042.206478,592583415.0491617,2692233589.3359413,2099
202302,F,WEALTH MANAGEMENT,Inactivos,151215942.4674456,868083.1877705697,150347859.27967834,374
202301,F,GLOBAL TRANSACTION BANKING,Inactivos,263666.4610552974,263666.4610552974,0.0,15
202305,F,PARTICULARES,D,127529165365.41884,58819666517.63659,68709498874.43115,1992187
202304,F,WEALTH MANAGEMENT,A,3232240878.8375425,605557862.7718939,2626683009.302658,2160
202303,F,WEALTH MANAGEMENT,Inactivos,168689362.22769445,900511.5475067645,167788850.67970276,390
202302,F,GLOBAL TRANSACTION BANKING,Inactivos,299749.173106689,299749.173106689,0.0,16
202306,F,PARTICULARES,D,124866867984.57407,57969239614.725395,66897628321.82166,1951293
202305,F,WEALTH MANAGEMENT,A,3306477111.706585,605049341.1518424,2701427773.706455,2177
202304,F,WEALTH MANAGEMENT,Inactivos,63121191.962505214,947564.6102479659,62173627.35267639,403
202303,F,GLOBAL TRANSACTION BANKING,Inactivos,323204.86256286874,323204.86256286874,0.0,16
202307,F,PARTICULARES,D,123322434859.04562,58073130472.192764,65249304458.76343,2078006
202306,F,WEALTH MANAGEMENT,A,3515009603.907055,682984591.3003194,2832025017.004219,2367
202305,F,WEALTH MANAGEMENT,Inactivos,43694435.4981987,964420.4875056297,42730015.01095581,416
202304,F,GLOBAL TRANSACTION BANKING,Inactivos,369603.77151069045,368437.10158881545,1166.6700439453125,14
202401,F,PARTICULARES,A,40728656522.464584,25635304324.84505,15093352194.467262,1783173
202308,F,PARTICULARES,D,118358151065.8898,56480717683.33994,61877433424.38342,1988295
202307,F,WEALTH MANAGEMENT,A,3713528311.494055,711089503.0891396,3002438816.919689,2435
202306,F,WEALTH MANAGEMENT,Inactivos,30066560.954269417,987401.6880068891,29079159.266288757,433
202305,F,GLOBAL TRANSACTION BANKING,Inactivos,1667501.7710548341,1662985.640927881,4516.1298828125,14
202402,F,PARTICULARES,A,45957417011.67782,27796925680.01949,18160491323.3444,1902094
202309,F,PARTICULARES,D,114752935548.659,53186521118.25524,61566414422.73064,1972523
202401,F,PARTICULARES,Inactivos,1119846136.9210079,841456681.4721239,278389452.1323322,831386
202308,F,WEALTH MANAGEMENT,A,3571186282.013643,607750734.3345548,2963435543.7773438,2518
202307,F,WEALTH MANAGEMENT,Inactivos,38315793.7211876,1013666.378348358,37302127.342666626,421
202306,F,GLOBAL TRANSACTION BANKING,Inactivos,651388.9643963277,651388.9643963277,0.0,13
202403,F,PARTICULARES,A,44912217227.36523,27677356334.3377,17234860896.23577,1975463
202310,F,PARTICULARES,D,114121148017.01102,51843112010.29683,62278035951.02641,1953363
202402,F,PARTICULARES,Inactivos,1034663196.1013918,835303642.8837203,199359554.4378636,888884
202309,F,WEALTH MANAGEMENT,A,4247524120.4392376,809411926.9406942,3438112188.7178574,2674
202308,F,WEALTH MANAGEMENT,Inactivos,47377335.275973946,983644.7467719689,46393690.52920532,428
202307,F,GLOBAL TRANSACTION BANKING,Inactivos,527414.6338005513,527414.6338005513,0.0,13
202404,F,PARTICULARES,A,42557800756.50404,27172614759.99312,15385185988.891495,2195635
202311,F,PARTICULARES,D,117822073405.54926,55107660745.6981,62714412660.307434,1981843
202403,F,PARTICULARES,Inactivos,37106866.1794336,36929031.96767664,177834.21088409424,956306
202310,F,WEALTH MANAGEMENT,A,4447166083.103077,649087112.7229244,3798079024.023796,2655
202309,F,WEALTH MANAGEMENT,Inactivos,33122752.81408496,996724.7976545803,32126028.016433716,445
202308,F,GLOBAL TRANSACTION BANKING,Inactivos,574813.1428433359,574813.1428433359,0.0,15
202312,F,PARTICULARES,D,131074715928.71257,68360565348.64072,62714150610.2773,2333582
202404,F,PARTICULARES,Inactivos,1227438745.9248118,919141598.5765666,308297149.07788086,1031833
202311,F,WEALTH MANAGEMENT,A,4692751803.128989,793193831.4538512,3899557957.0225677,2664
202310,F,WEALTH MANAGEMENT,Inactivos,27944335.389164284,1056902.8067930508,26887432.582366943,437
202309,F,GLOBAL TRANSACTION BANKING,Inactivos,601415.8346420228,601415.8346420228,0.0,14
202312,F,WEALTH MANAGEMENT,A,3200953833.522533,658268837.7507946,2542685010.8042755,2441
202311,F,WEALTH MANAGEMENT,Inactivos,35872123.541024305,7458815.32996808,28413308.21105957,445
202310,F,GLOBAL TRANSACTION BANKING,Inactivos,549720.3330133054,549720.3330133054,0.0,12
