"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,J,INSTITUCIONES,B,15976176204.22496,9690265756.649342,6285910468.461372,1156
202305,J,INSTITUCIONES,B,16321533757.097364,10226675181.928736,6094858561.811356,1027
202309,J,INSTITUCIONES,B,11688030664.560331,5520889377.40674,6167141276.548363,1126
202401,J,INSTITUCIONES,B,16500208954.304613,9291832652.54721,7208376312.919945,1101
202302,J,INSTITUCIONES,C,23408648288.930527,19434893131.049393,3973755094.68955,1185
202306,J,INSTITUCIONES,C,22524628118.293407,19261889360.19136,3262738782.127144,1210
202310,J,INSTITUCIONES,C,21704797443.543022,17786014115.73242,3918783296.9119644,1107
202402,J,INSTITUCIONES,C,23551600879.202637,20257290824.02831,3294310064.229126,1094
202303,J,INSTITUCIONES,D,55882252018.538315,51114345711.44114,4767906344.24086,1153
202307,J,INSTITUCIONES,D,37664230888.97623,32860538955.501293,4803691978.137695,1086
202311,J,INSTITUCIONES,D,28301923277.250637,23463812698.68021,4838110576.930664,1066
202403,J,INSTITUCIONES,D,16206120395.670958,10878204086.832338,5327916327.916504,1025
202301,J,INSTITUCIONES,Inactivos,380185896.27154464,380162840.511779,23055.75,119
202305,J,INSTITUCIONES,Inactivos,54991070.96682734,53639521.28323359,1351549.71484375,111
202309,J,INSTITUCIONES,Inactivos,85819743.2782085,84508298.28797412,1311444.865234375,86
202401,J,INSTITUCIONES,Inactivos,3341792.407596115,3332956.067752365,8836.33984375,60
202302,J,PARTICULARES,Sin Categoria,38582568.7741096,7921451.12506175,30661117.6484375,45
202306,J,PARTICULARES,Sin Categoria,41332827.885030985,9006591.196920633,32326236.688476562,34
202310,J,PARTICULARES,Sin Categoria,44099887.49185777,10052725.96195054,34047161.53027344,31
202402,J,PARTICULARES,Sin Categoria,46883172.51453233,11127305.975836039,35755866.5390625,39
202301,J,PYMES,A,19294988910.20028,18618719056.838524,676269855.2411585,34732
202305,J,PYMES,A,20566468297.228317,19804587583.986786,761880710.6632724,36417
202309,J,PYMES,A,23829662590.12974,23046323363.918007,783339218.2344589,37079
202401,J,PYMES,A,23310542555.31944,22549405251.617176,761137301.2150412,36592
202302,J,PYMES,B,16037743829.877907,15813238374.604542,224505458.65909028,32985
202306,J,PYMES,B,15142198307.571941,14789725892.76801,352472412.4711704,33427
202310,J,PYMES,B,15120352558.217564,14728373251.539371,391979298.13443565,33737
202402,J,PYMES,B,15832768247.077057,15420448950.016022,412319299.1433134,34340
202303,J,PYMES,C,15059961830.746023,14849120229.9162,210841600.08974838,33192
202307,J,PYMES,C,15785569040.57622,15488436874.514849,297132172.6332798,33200
202311,J,PYMES,C,17041642738.382824,16857818681.442581,183824059.59607697,33116
202403,J,PYMES,C,16028083566.682606,15761353366.925797,266730197.08263683,33384
202304,J,PYMES,D,28867534268.2401,28395097744.800648,472436528.31874084,31085
202308,J,PYMES,D,28898454119.515434,28521049468.49421,377404663.0043974,31445
202312,J,PYMES,D,32145414061.135937,31625358249.59965,520055811.61741114,35091
202404,J,PYMES,D,26501321727.156967,26177391715.52025,323930012.49591064,32102
202302,J,PYMES,Inactivos,119618.87963867188,119618.87963867188,0.0,5
202306,J,PYMES,Inactivos,2355.3798828125,2355.3798828125,0.0,1
202402,J,PYMES,Inactivos,7335.6201171875,7335.6201171875,0.0,1
202302,J,RESTO,Sin Categoria,1237776570.926488,1237776570.926488,0.0,87
202306,J,RESTO,Sin Categoria,1001174424.267377,1001111852.267377,62571.51171875,92
202310,J,RESTO,Sin Categoria,1151780661.8951573,982427987.0514075,169352670.484375,97
