"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202311,J,GLOBAL TRANSACTION BANKING,D,27350193414.053375,22745985921.59439,4604207496.6328125,629
202403,J,GLOBAL TRANSACTION BANKING,D,28121334859.47941,21392591129.39912,6728743871.075012,710
202301,J,GLOBAL TRANSACTION BANKING,Inactivos,34298.71875,34298.71875,0.0,1
202305,J,GLOBAL TRANSACTION BANKING,Inactivos,32674.720703125,32674.720703125,0.0,1
202309,J,GLOBAL TRANSACTION BANKING,Inactivos,30108.75,30108.75,0.0,1
202401,J,GLOBAL TRANSACTION BANKING,Inactivos,30506.720703125,30506.720703125,0.0,1
202304,J,INSTITUCIONES,A,38042766583.22974,29098244883.89987,8944521657.408752,1280
202308,J,INSTITUCIONES,A,41894011243.60476,33626695553.64037,8267315541.532379,1266
202312,J,INSTITUCIONES,A,35880329971.263214,26296038851.003452,9584291079.145935,1140
202404,J,INSTITUCIONES,A,44626599220.26138,34845241323.24914,9781357851.271423,1281
202301,J,INSTITUCIONES,B,19809297777.87096,14259315544.560537,5549982236.588852,1266
202305,J,INSTITUCIONES,B,23586774175.321712,18144115753.0438,5442658394.679031,1256
202309,J,INSTITUCIONES,B,21306983988.42729,17428494559.24023,3878489421.951683,1245
202401,J,INSTITUCIONES,B,23083768099.76967,19506596836.88219,3577171250.342949,1262
202302,J,INSTITUCIONES,C,13407331759.520794,11541956753.468426,1865375007.3030906,1191
202306,J,INSTITUCIONES,C,10038766201.079224,8098893747.62422,1939872472.5355911,1132
202310,J,INSTITUCIONES,C,10727319191.350512,9118758536.98562,1608560635.6446304,1051
202402,J,INSTITUCIONES,C,18220866824.286457,13835990371.386929,4384876339.102715,1037
202303,J,INSTITUCIONES,D,56349372863.52758,52504190061.56975,3845182809.7076573,1246
202307,J,INSTITUCIONES,D,27724114539.664017,23334588763.240685,4389525802.021484,1038
202311,J,INSTITUCIONES,D,28320783369.35469,23857945392.81735,4462837931.636719,1108
202403,J,INSTITUCIONES,D,18155175552.837704,12943726098.084797,5211449464.398529,1101
202301,J,INSTITUCIONES,Inactivos,380185896.2715446,380162840.51177895,23055.75,119
