"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202302,F,PARTICULARES,B,80116811187.63771,52923393506.46812,27193417689.202946,2004198
202311,F,PYMES,Inactivos,13695353519.230461,12111875266.998,1583478254.8859491,87240
202303,F,PARTICULARES,B,79687096259.35304,52013522656.21766,27673573589.160282,2113855
202312,F,PYMES,Inactivos,14346993629.558895,12752745764.856346,1594247863.3235626,87755
202304,F,PARTICULARES,B,83005646693.33258,53615895255.41195,29389751433.63959,2053816
202305,F,PARTICULARES,B,82925766763.85593,53307296130.0232,29618470639.61747,2104678
202306,F,PARTICULARES,B,84542470308.17224,53401264354.57623,31141205943.52435,2059068
202307,F,PARTICULARES,B,84888539851.52248,53830644180.88639,31057895681.01356,2081831
202308,F,PARTICULARES,B,85269291551.12463,53268608989.05925,32000682542.045433,2119515
202309,F,PARTICULARES,B,86448442570.69337,53362899510.54033,33085543041.730133,2112051
202310,F,PARTICULARES,B,85174089832.48766,51985344093.03659,33188745733.573154,2128119
202311,F,PARTICULARES,B,87054583245.54465,52767358317.60043,34287224924.84619,2209679
202312,F,PARTICULARES,B,87880370749.95105,54974764904.34516,32905605843.653694,2172534
202301,F,WEALTH MANAGEMENT,D,8377018954.3387,1188652924.6407719,7188366011.206165,2517
202302,F,WEALTH MANAGEMENT,D,9284487424.192566,1162071136.00768,8122416289.109625,2617
202303,F,WEALTH MANAGEMENT,D,9169241902.448952,1323242154.6185658,7845999663.105377,2503
202304,F,WEALTH MANAGEMENT,D,7050889045.561277,1258380341.0867057,5792508742.125586,2400
202305,F,WEALTH MANAGEMENT,D,7194792564.883444,1318098296.041974,5876694276.278101,2420
202306,F,WEALTH MANAGEMENT,D,6373334585.314422,1218024385.1591983,5155310200.105011,2383
202401,F,PARTICULARES,D,150912851769.21793,74453257365.79268,76459594431.01817,2340496
202307,F,WEALTH MANAGEMENT,D,6414939631.329083,1114127512.2923183,5300812166.541307,2343
202402,F,PARTICULARES,D,145310793489.909,70158955646.91785,75151837824.0014,2256723
202401,F,WEALTH MANAGEMENT,A,3736143350.6771398,724346812.192021,3011796575.761883,2285
202308,F,WEALTH MANAGEMENT,D,5882921546.021947,1116516289.1290057,4766405250.775382,2342
202403,F,PARTICULARES,D,142762640730.6266,67752672678.338036,75009968085.6099,2097876
202402,F,WEALTH MANAGEMENT,A,2906526139.345101,765971672.1503829,2140554445.4766808,1997
202309,F,WEALTH MANAGEMENT,D,5745903924.786822,1157053474.9012845,4588850449.992933,2389
202401,F,WEALTH MANAGEMENT,Inactivos,66173011.825625286,6278344.772062654,59894667.05355835,451
202404,F,PARTICULARES,D,137631732948.60443,64637482311.646164,72994250700.84204,2016550
202301,F,RESTO,Inactivos,28650197.70919177,19217761.88887927,9432435.83984375,253
202403,F,WEALTH MANAGEMENT,A,2553181504.5617986,731231777.7057656,1821949742.7134705,2039
202310,F,WEALTH MANAGEMENT,D,4789528790.281555,1135886178.7712226,3653642607.7855225,2304
202402,F,WEALTH MANAGEMENT,Inactivos,65222941.56175347,4748526.545460427,60474415.01625061,419
202401,F,GLOBAL TRANSACTION BANKING,Inactivos,435014.2905497551,435014.2905497551,0.0,12
202302,F,RESTO,Inactivos,29846481.586408846,20364271.028303377,9482210.4140625,247
202404,F,WEALTH MANAGEMENT,A,2907732368.757015,774160727.6822013,2133571634.9453354,2028
202311,F,WEALTH MANAGEMENT,D,4226381015.8877277,1087370074.8962526,3139010957.5003242,2273
